Product_ID,Product_Name,Category,Sub_Category,Brand,Cost_Price,Selling_Price
P073,Elite Exercise Bike,Sports & Fitness,Fitness Equipment,Elite,25663.79,45658.82
P074,TechWorld Smartphone Max,Electronics,Mobiles,TechWorld,11748.01,16569.45
P075,ValueMart Body Groomer,Beauty & Personal Care,Personal Care,ValueMart,34959.74,53168.93
P076,SmartBuy Formal Shirt,Fashion,Men Clothing,SmartBuy,35416.54,53206.33
P077,NovaTech Air Fryer,Home & Kitchen,Kitchen Appliances,NovaTech,23594.31,40156.9
P078,SmartBuy Water Bottle,Sports & Fitness,Sports Accessories,SmartBuy,40426.54,69565.35
P079,NextGen Gaming Laptop,Electronics,Laptops,NextGen,20133.79,40233.78
P080,ProMax Sneakers,Fashion,Footwear,ProMax,19240.82,24544.1
P081,PrimeChoice Treadmill,Sports & Fitness,Fitness Equipment,PrimeChoice,21051.88,30802.62
P082,NovaTech Kurti,Fashion,Women Clothing,NovaTech,34992.34,61847.53
P083,SmartBuy Wall Clock,Home & Kitchen,Home Decor,SmartBuy,48188.7,72878.84
P084,UrbanLife Kids Encyclopedia,Books,Children Books,UrbanLife,38343.94,54278.11
P085,TechWorld Sports Bag,Sports & Fitness,Sports Accessories,TechWorld,30882.58,41450.12
P086,SmartBuy Bookshelf,Home & Kitchen,Furniture,SmartBuy,10700.57,15531.93
P087,PrimeChoice Learning Book,Books,Children Books,PrimeChoice,24170.75,33619.82
P088,PrimeChoice Sunscreen,Beauty & Personal Care,Skincare,PrimeChoice,35748.57,67691.86
P089,PrimeChoice Microwave Oven,Home & Kitchen,Kitchen Appliances,PrimeChoice,33847.21,61224.99
P090,PrimeChoice Training Jacket,Sports & Fitness,Sportswear,PrimeChoice,24643.68,48672.7
P091,Elite Air Fryer,Home & Kitchen,Kitchen Appliances,Elite,28733.47,51645.99
P092,Elite Wireless Mouse,Electronics,Computer Accessories,Elite,14388.18,18619.71
P093,ValueMart Wallet,Fashion,Accessories,ValueMart,7653.64,10554.8
P094,UrbanLife Budget Smartphone,Electronics,Mobiles,UrbanLife,14440.61,28526.65
P095,PrimeChoice Smartphone Pro,Electronics,Mobiles,PrimeChoice,9897.98,18850.47
P096,NovaTech Laptop Stand,Electronics,Computer Accessories,NovaTech,29913.75,59492.1
P097,ProMax Portable Speaker,Electronics,Audio,ProMax,33630.31,63998.05
P098,TechWorld Webcam,Electronics,Computer Accessories,TechWorld,49862.14,66961.45
P099,TrendPlus Jeans,Fashion,Men Clothing,TrendPlus,6119.14,11841.3
P100,ValueMart Business Book,Books,Non-Fiction,ValueMart,7095.7,9492.86
